date,Open,High,Low,OT,Adj Close,Volume
10/16/2012,737.75,745.25,735.25,738.25,738.25,105944
10/17/2012,738,746.25,736.25,745.5,745.5,81080
10/18/2012,745.25,762,744.5,760.75,760.75,141242
10/19/2012,760.75,769,758.25,761.5,761.5,138751
10/22/2012,761,767,758.75,761.25,761.25,81096
10/23/2012,761,762.5,749.5,756,756,130327
10/24/2012,756,763.5,751.5,754.5,754.5,157205
10/25/2012,753.5,757.5,740.75,742,742,147414
10/26/2012,742,744.75,737,737.75,737.75,112039
10/31/2012,741.75,757.75,741.75,755.75,755.75,180255
11/1/2012,755.5,763.25,750,751,751,161175
11/2/2012,750,751.5,736,739.5,739.5,175125
11/5/2012,737.5,745,733,735.5,735.5,123788
11/6/2012,735.5,741.5,735.5,741,741,118109
11/7/2012,740.5,751.75,734,744.25,744.25,179049
11/8/2012,744.5,748,740.5,741.25,741.25,154253
11/9/2012,741,755,733.5,738.75,738.75,260266
11/12/2012,736.75,743.5,712.5,718,718,260971
11/13/2012,717.5,725.75,710.5,723.5,723.5,232439
11/14/2012,723,729.25,720.25,725.75,725.75,153645
11/15/2012,725.75,727.75,720.25,721.25,721.25,112562
11/16/2012,721.25,729.75,711,727,727,162450
11/19/2012,726.5,741.25,726.25,738.75,738.75,156748
11/20/2012,738.75,747.25,734.25,743.25,743.25,145852
11/21/2012,743,747,738,741,741,108007
11/23/2012,746.25,749,743.25,745.5,745.5,62192
11/26/2012,744.75,753,741.75,747.25,747.25,133413
11/27/2012,746.5,760.25,746.5,760,760,142387
11/28/2012,758.75,763.25,754.75,760.25,760.25,111668
11/29/2012,759,763,751,751.5,751.5,128067
11/30/2012,752.5,752.5,742,748,748,44921
12/3/2012,752,759,744.25,749,749,12172
12/4/2012,749,751.5,741,746.5,746.5,8862
12/5/2012,747,754.75,745.5,753.25,753.25,8852
12/6/2012,752.75,753.5,744.5,747.75,747.75,3380
12/7/2012,748,749,731.5,732.75,732.75,4652
